深圳,金融,普惠快信,金融,1000-9999人,www.pohoocredit.com/,1.9,￥3150
深圳,金融,平安集团,保险,500-999人,m.pingan.com/index.shtml,4.0,￥5196
深圳,金融,深圳银盛金融集团有限公司,投资/融资,500-999人,www.eptok.com,4.0,￥4350
深圳,金融,中兴微贷,基金,1000-9999人,www.zxfinance.com,3.0,￥5324
深圳,金融,平安银行汽车金融事业部,金融,1000-9999人,haodai.pingan.com/loan/index.html,3.3,￥4500
深圳,金融,中粮期货,期货,500-999人,,3.6,￥4557
深圳,金融,银泰证券有限责任公司,证券,100-499人,www.ytzq.net,3.6,￥3886
深圳,金融,康宏金融集团,投资/融资,100-499人,www.convoy.com.hk/zh_CN/china,2.5,￥6000
深圳,金融,深圳证券信息有限公司,证券,100-499人,www.cninfo.com.cn,3.6,￥7667
深圳,金融,联合证券,证券,1000-9999人,www.lhzq.com,3.3,￥4500
深圳,金融,德信资本,基金,100-499人,topina.com.cn,3.8,￥5877
深圳,金融,深圳证券交易所,证券,20-99人,www.szse.cn/,4.6,￥15000
深圳,金融,中国平安人寿保险股份有限公司济南分公司天健部,保险,10000人以上,,暂无,￥4400
深圳,金融,深证通,证券,100-499人,www.ssscc.com.cn,3.4,￥9000
深圳,金融,太平财险,保险,500-999人,,2.6,￥3500
深圳,金融,深圳永捷担保有限公司,担保/典当/拍卖,100-499人,www.rong777.com,暂无,￥11187
深圳,金融,海钜信达,投资/融资,1000-9999人,www.tritonsfs.com,4.1,￥9750
深圳,金融,前海善林,投资/融资,100-499人,,2.5,￥6602
深圳,金融,深圳捷信信驰咨询有限公司长沙分公司,基金,1000-9999人,www.homecredit.cn/zh/Default.aspx,3.6,￥3000
深圳,金融,国银金融租赁有限公司,租赁,100-499人,www.CDBleasing.net,3.2,￥10150
深圳,金融,标准盛丰资产管理有限公司,银行,100-499人,www.standardperpetual.com,3.0,￥11187
深圳,金融,太平财产保险有限公司,保险,www.etaiping.com,,2.6,￥5000
深圳,金融,广东创盈贵金属经营有限公司,投资/融资,500-999人,www.cygjs100.com,暂无,￥4400
深圳,金融,深圳市钜道财富管理有限公司,担保/典当/拍卖,20-99人,,暂无,￥6400
深圳,金融,深圳光大世纪投资管理有限公司,投资/融资,,,暂无,￥4300
深圳,金融,后河财富,银行,1000-9999人,www.honhe.com/,5.0,￥11250
深圳,金融,博时基金,基金,www.bosera.com,,暂无,￥13200
深圳,金融,深圳市深银租赁有限公司,投资/融资,100-499人,,4.8,￥6500
深圳,金融,深圳市中合银融资担保有限公司,担保/典当/拍卖,100-499人,www.zhydb.com,3.3,￥8216
深圳,金融,深圳通联金融网络科技服务有限公司,基金,500-999人,www.allinpay.com,2.5,￥4575
深圳,金融,深圳市共信赢金融信息服务有限公司,投资/融资,100-499人,,2.7,￥10000
深圳,金融,前海股权交易中心,证券,20-99人,www.qhee.com,3.1,￥6000
深圳,金融,深圳高新投,银行,100-499人,,4.0,￥10000
深圳,金融,中集租赁,投资/融资,20-99人,www.cimc.com/enterprise/leasing/,5.0,￥20000
深圳,金融,友邦保险有限公司,保险,10000人以上,www.xianfeng88.com,4.0,￥6000
深圳,金融,中证期货,期货,,,4.0,￥4820
