商品名称,价格,商品链接
Kobe AD EP男子篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/pd/kobe-ad-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-spqkBq/pid-12016681/pgid-12413710
Kobe AD EP男子篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/pd/kobe-ad-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-dPT0zKRG/pid-12182058/pgid-12027318
Kobe A.D. iD篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44256&pbid=575807541
Kobe A.D. iD篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44261&pbid=489403835
Kobe A.D. iD篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44260&pbid=865729361
Kobe A.D. iD篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44252&pbid=537983148
Kobe A.D. iD篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44434&pbid=604305436
Kobe A.D. iD篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44259&pbid=124685742
Kobe A.D. iD篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44255&pbid=230919261
Kobe A.D. iD篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44253&pbid=151142258
Kobe A.D. iD男子篮球鞋,"￥1,399",https://store.nike.com/cn/zh_cn/product/kobe-ad-id/?piid=44459&pbid=817168513
Nike Zoom KD10 EP男子篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/pd/zoom-kd10-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-dPT0gGYA/pid-11919648/pgid-11852285
Jordan Super.Fly 2017 PFX男子篮球鞋,"￥1,199",https://store.nike.com/cn/zh_cn/pd/jordan-super-fly-2017-pfx-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-JkTGVgwm/pid-11974382/pgid-11979076
克利夫兰骑士队 (Cleveland Cavaliers) Icon Edition AuthenticNike NBA Connected Jersey 男子球衣,"￥1,299",https://store.nike.com/cn/zh_cn/pd/%E5%85%8B%E5%88%A9%E5%A4%AB%E5%85%B0%E9%AA%91%E5%A3%AB%E9%98%9F-icon-edition-authentic-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11817988/pgid-12399095
LeBron Soldier XI SFG EP男子篮球鞋,"￥1,199",https://store.nike.com/cn/zh_cn/pd/lebron-soldier-11-sfg-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-1gnKDm/pid-11823793/pgid-12412862
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44099&pbid=375254309
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44107&pbid=455353021
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44105&pbid=408073706
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44106&pbid=255013940
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44102&pbid=458788909
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44098&pbid=1026290209
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44103&pbid=738727637
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44101&pbid=693032008
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44104&pbid=235838151
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44100&pbid=563558084
LeBron Soldier XI iD篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/product/soldier-xi-id/?piid=44435&pbid=967563897
Nike Zoom KD10 EP男子篮球鞋,"￥1,299",https://store.nike.com/cn/zh_cn/pd/zoom-kd10-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-qjxGVC/pid-12020429/pgid-12415759
Kyrie 3 EP男子篮球鞋,￥899,https://store.nike.com/cn/zh_cn/pd/kyrie-3-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-6sgb0c/pid-11993009/pgid-12412633
金州勇士队 (Stephen Curry) Icon Edition AuthenticNike NBA Connected Jersey 男子球衣,"￥1,299",https://store.nike.com/cn/zh_cn/pd/%E9%87%91%E5%B7%9E%E5%8B%87%E5%A3%AB%E9%98%9F-icon-edition-authentic-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11616625/pgid-12407606
LeBron James All-Star Edition Authentic JerseyJordan NBA Connected Jersey 男子球衣,"￥1,499",https://store.nike.com/cn/zh_cn/pd/lebron-james-all-star-edition-authentic-jersey-jordan-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3-QZxDFk/pid-12001314/pgid-12416836
Jordan Super.Fly 2017 Low PF男子篮球鞋,"￥1,049",https://store.nike.com/cn/zh_cn/pd/jordan-super-fly-2017-low-pf-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-B4Kvv1/pid-12028741/pgid-12415707
Air Jordan XXXII BG大童篮球童鞋,"￥1,199",https://store.nike.com/cn/zh_cn/pd/air-jordan-32-bg-%E5%A4%A7%E7%AB%A5%E7%AF%AE%E7%90%83%E7%AB%A5%E9%9E%8B-ERTB4lYK/pid-11893137/pgid-11931080
克利夫兰骑士队 (LeBron James) Statement Edition AuthenticNike NBA Connected Jersey 男子球衣,"￥1,299",https://store.nike.com/cn/zh_cn/pd/%E5%85%8B%E5%88%A9%E5%A4%AB%E5%85%B0%E9%AA%91%E5%A3%AB%E9%98%9F-statement-edition-authentic-jersey-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11881492/pgid-11983520
