问题发生时间,平台名称,所在地区,上线时间,出问题原因,url,注册资本,法人,风险暴露时间,注册人数,筹集资金,待收金额,现状
2016/12/28,迁安金融,河北省唐山市,--,平台失联,https://www.p2peye.com/thread-916940-1-1.html,2000万元 人民币,王华,2016年11月2日,不详,不详,不详,网站无法访问
2016/12/28,盛世汇海,北京市,--,平台失联,https://www.p2peye.com/thread-916944-1-1.html,11000万元 人民币,刘金瑞,2014年11月9日,不详,不详,不详,连续多日联系不上
2016/12/31,360贷贷网,云南省昆明市,2014/3/15,提现困难,https://www.p2peye.com/thread-918470-1-1.html,5000万元 人民币,蒲智勇,2016年8月2日,不详,不详,不详,限制提现，大量到期标的显示还款中
2016/12/28,金鼎和财富,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-916946-1-1.html,50万元 人民币,王凤华,不详,不详,不详,不详,网站无法访问
2016/12/28,绿之蓝,安徽省合肥市,2015/4/30,平台失联,https://www.p2peye.com/thread-916951-1-1.html,2600万元 人民币,罗运国,不详,不详,不详,不详,连续多日联系不上，近期无新标发布
2016/12/28,阳光富道,河南省平顶山市,2015/11/18,终止运营,https://www.p2peye.com/thread-916182-1-1.html,1800万元 人民币,郭红珍,不详,不详,不详,不详,变更为非网贷类网站
2016/12/31,抱团贷,河南省郑州市,2015/1/12,平台失联,https://www.p2peye.com/thread-918380-1-1.html,1100万元 人民币,逯宬驿,不详,不详,不详,不详,连续多日联系不上，客服号码是空号，大量到期标的显示还款中
2016/12/31,金银富,江苏省苏州市,2015/11/26,平台失联,https://www.p2peye.com/thread-918467-1-1.html,1000万元 人民币,王长凤,不详,不详,不详,不详,网站无法访问
2016/12/31,高兴贷,山东省烟台市,2015/8/8,平台失联,https://www.p2peye.com/thread-918473-1-1.html,500万元 人民币,张成,2016年12月29日,不详,不详,不详,网站无法访问
2016/12/28,飞钱基金,河北省石家庄市,2014/11/6,终止运营,https://www.p2peye.com/thread-916185-1-1.html,510万元 人民币,王建,不详,不详,不详,不详,变更为赌博网站
