['2018-03-08', '爱生息', '山西省阳泉市', '2016-12-01', '提现困难', 'https://www.p2peye.com/thread-1985324-1-1.html']
['2018-03-08', '鑫诚投资', '安徽省马鞍山市', '2016-03-24', '平台失联', 'https://www.p2peye.com/thread-1985943-1-1.html']
['2018-03-08', '徽商易贷', '安徽省马鞍山市', '2015-04-13', '平台失联', 'https://www.p2peye.com/thread-1985945-1-1.html']
['2018-03-08', '益丰阿里', '安徽省合肥市', '2015-03-11', '平台失联', 'https://www.p2peye.com/thread-1985946-1-1.html']
['2018-03-01', '中南信达', '北京市房山区', '--', '平台诈骗', 'https://www.p2peye.com/thread-1981845-1-1.html']
['2018-03-01', '财富柜', '上海市浦东新区', '--', '平台失联', 'https://www.p2peye.com/thread-1981852-1-1.html']
['2018-03-01', '钱财富', '上海市宝山区', '--', '提现困难', 'https://www.p2peye.com/thread-1981855-1-1.html']
['2018-03-01', '红运金服', '江苏省苏州市', '2017-08-10', '平台失联', 'https://www.p2peye.com/thread-1981854-1-1.html']
['2018-02-28', '信融乐', '上海市青浦区', '--', '平台诈骗', 'https://www.p2peye.com/thread-1981087-1-1.html']
['2018-02-28', '胖毛在线', '福建省厦门市', '2013-09-01', '警方介入', 'https://www.p2peye.com/thread-1981085-1-1.html']
['2018-02-27', '凯发财通', '浙江省丽水市', '--', '平台失联', 'https://www.p2peye.com/thread-1980330-1-1.html']
['2018-02-27', '三国财富', '北京市朝阳区', '2017-07-15', '平台失联', 'https://www.p2peye.com/thread-1980333-1-1.html']
['2018-02-11', '首库金融', '广东省广州市', '2016-03-25', '平台失联', 'https://www.p2peye.com/thread-1974553-1-1.html']
['2018-02-11', '巨财网', '北京市东城区', '2016-03-22', '平台失联', 'https://www.p2peye.com/thread-1974548-1-1.html']
['2018-02-11', '银巴克', '北京市东城区', '2014-12-19', '平台失联', 'https://www.p2peye.com/thread-1974982-1-1.html']
['2018-02-11', '潮人贷', '广东省汕头市', '2014-10-31', '平台失联', 'https://www.p2peye.com/thread-1974550-1-1.html']
['2018-02-11', '微贷在线', '广东省东莞市', '2014-12-02', '终止运营', 'https://www.p2peye.com/thread-1974551-1-1.html']
