数据分析,/intern/inn_fdccvu3lml11,古道咨询,算法,上海,180-257/天,5天/周,8个月,岗位职责：1、负责各个平台数据的核对、统计、整理、保持以及维护工作；2、负责提供相关日、月结算统计报表与分析报表；3、分析对账中发现的异常数据并及时处理，确保结清算工作顺利实施；4、其他项目性工作及上级领导交代的其他工作任职要求：岗位要求：1、财务、统计、数学等相关专业本科以上学历；2、优秀的分析及解决问题的能力；3、严谨的逻辑思维能力，对数字敏感，抗压能力强；4、熟练使用统计软件，精通office操作,2018-06-24,统计 报表 工作 能力 分析 专业本科 office 岗位职责 对账 负责 抗压 以上学历 逻辑思维 及时处理 相关 数据 上级领导 核对 要求 熟练
数据分析,/intern/inn_siv9pmdg8fn1,百度,市场,北京,80-100/天,5天/周,3个月,工作职责：-负责数据收集整理，对所收集的数据结果负责；-能结合业务情况及业务特点，输出关键性数据指标，并于业务监控指标体系，及时发现与定位业务问题-对业务问题进行深入分析，为公司销售策略提供数据支持-与相关团队协作进行数据建模工作，推动业务部门的数据化运营职责要求：-国内外大学本科及以上；信息、管理科学、统计、应用数学类相关专业优先-具备数据清洗、分析能力，熟悉常用的数据方法论-有较好的数据敏感度，能从海量数据提炼核心结果，结合业务反馈建议，用简洁而清晰的方式呈现数据分析背后的业务洞察；-具备跨团队、部门沟通及资源整合能力-较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交付产出,2018-06-28,数据 业务 职责 能力 团队 具备 提供数据 负责 销售策略 抗压 结合 大学本科 收集整理 建模 管理科学 深入分析 指标体系 业务部门 敏感度 海量
数据分析,/intern/inn_yjt0tbbiua96,中精科技,投资,南京,100-110/天,5天/周,14个月,该职位接受暑期实习&长期实习。本职位仅接受2019届毕业生实习，提供毕业后转正的机会。实习时期主要工作内容为行情分析、数据录入等简单工作，并参与部门运营工作，包括社群维护、客服工作等。,2018-06-17,实习 工作 职位 2019 数据录入 暑期 社群 接受 客服 毕业生 转正 运营 毕业 维护 简单 参与 行情 部门 内容 长期
数据分析,/intern/inn_clzfhx2dlkav,TBS,软件,南京,115-150/天,3天/周,3个月,工作内容：1. 协助分析咨询师完成品牌社交营销活动的数据处理。2. 一起研究如何将统计和机器学习技术更好的应用于品牌营销和传播。职位要求：1. 数学、统计学或市场营销相关专业，2. 掌握R或Python语言，最好做过数据分析或开发相关的项目。3. 一周不少于三天的办公室工作时间。,2018-06-05,营销 品牌 Python 咨询师 市场营销 数据分析 相关 数据处理 社交 统计学 工作 做过 职位 协助 三天 机器 一周 数学 办公室 传播
数据分析,/intern/inn_u9cidyq1ibnp,日立研发,软件,上海,140-200/天,4天/周,3个月,"职位职责： 辅助研发人员进行数据分析：
1、快速掌握专业数据处理软件的使用
2、熟练使用EXCEL进行通用数据分析
3、能够使用PYTHON编写数据分析程序
4、实习期大于2个月",2018-06-21,数据分析 使用 实习期 EXCEL PYTHON 数据处理 熟练 编写 职位 职责 进行 软件 辅助 研发 大于 通用 程序 专业 掌握 快速
数据分析,/intern/inn_zyfjbn6a4hga,云克网络科技,运营,北京,150-180/天,5天/周,7个月,岗位职责：1、查询汇总及分析运营数据；2、部分报表的查询和制作；3、负责平台常规广告运营，与客户进行日常沟通，维系客户关系。岗位要求：1、大学本科及其以上学历，统计、计算机专业优先；2、熟悉数据统计分析方法，熟练掌握EXCEL的高级功能（函数、数据透视等） ；3、具备良好的沟通、协调能力，总结能力强；4、可接受优秀应届生。​,2018-07-31,查询 数据 沟通 运营 计算机专业 应届生 EXCEL 岗位职责 大学本科 熟练掌握 以上学历 客户关系 统计分析 能力 维系 汇总 透视 报表 岗位 优先
数据分析,/intern/inn_9247ra1bff3j,人人车,分析/调研,北京,100-150/天,5天/周,3个月,"职位要求1. 搭建业务指标体系，并进行指标分解，为业务决策提供支持 2. 监察数据指标，设计指标预警方案，给出业务建议 3. 对接入数据的质量可用性监测 4. 构建用户分析体系，包含用户行为分析，用户画像分析等 5. 结合业务需求，前瞻性规划数据分析体系，对输出的内容负责 6.与需求方定期沟通，了解业务痛点，挖掘可输出的数据和产品结合点 任职要求 1. 统招本科及以上学历，社会学、经济学、统计学等和数据分析高度相关专业,211,985优先。 2. 2018年和2019年毕业生，有相关实习经验者优先。",2018-08-09,业务 用户 数据分析 指标 优先 分析 数据 输出 痛点 统招 211 985 2018 2019 结合点 体系 可用性 需求方 以上学历 指标体系
数据分析,/intern/inn_9a5mfpgcagv4,惟容广告,咨询,上海,100-150/天,5天/周,4个月,职位要求：1、收集整理房地产行业、企业和项目（楼盘）的数据资料2、在研究总监/项目总监指导下做好研究报告、咨询报告撰写工作3、按研究总监/项目总监要求开展客户专业维护工作4、协助研究总监/项目总监完成其他交办工作岗位要求：1.本科及以上学历，理工类专业优先考虑；2.有目标，坚韧踏实；3.具有数据敏感度和较好的学习领悟能力。,2018-06-06,总监 项目 研究 要求 专业 理工类 收集整理 以上学历 数据资料 交办 报告 敏感度 领悟 工作岗位 坚韧 本科 踏实 工作 楼盘 撰写
数据分析,/intern/inn_b0kbwcngfh2a,时光数据工作坊,用户研究,上海,100-200/天,5天/周,12个月,"工作描述：1、对零售与电商行业进行研究，撰写行业研究报告、专业文章；2、持续对相关行业数据和信息收集及研究，数据解读；3. 根据具体项目要求，开展数据调研，问卷设计；4、配合团队能高效、优质地完成工作，保证总体工作进度。任职资格：1、市场、统计、经济、金融、电子商务、社会心理类专业本科以上学历；2、	具有出色的文字及语言表达能力；3、	工作细致耐心，责任心强，良好的沟通能力，能够灵活解决项目过程中各种问题；4、	良好的数据敏感度与逻辑分析能力, 独立思考能力强，能从海量数据洞察与分析结果；特别注意：技术大咖，程序猿不是我们要的哦有艾瑞易观工作经验的分析师加分。",2018-06-30,数据 能力 工作 行业 研究 电商 专业本科 艾瑞易观 良好 工作进度 以上学历 独立思考 语言表达 责任心 敏感度 海量 洞察 项目 分析 问卷
市场数据分析实习生/亚马逊数据分析师,/intern/inn_nckvgfa492cq,优品无疆,分析/调研,深圳,200-300/天,5天/周,3个月,"一、岗位职责：1、负责业务部销售相关数据分析。。2、调研亚马逊上新产品、利润及竞争对手分析，分析客户需求，做好产品生命周期管理。3、对业务部各站点销售情况进行统计分析，对市场分布情况、重点商品结构、利润结构进行分析。4、负责公司月度、季度、年度库存数据分析。5、负责竞争对手热销品和新品数据分析，协助业务部经理制定销售策略。6、完成销售部经理交办的其他任务。二、岗位要求：1、本科以上学历，统计学、经济学、计算机信息管理等相关专业，其他专业成绩优秀者亦可；2、熟练使用office软件（word、excel、ppt）；3、对跨境电商感兴趣。4、信息收集、分析能力强，逻辑思维能力强。5、优秀应届生亦可。三、福利待遇1、薪酬待遇：公司为员工提供业内有竞争力的薪酬待遇，并根据工作表现和公司业绩状况给予相应的月度奖金、年终奖以及调薪和晋升等；2、社会保险：享有国家法律规定的社会保障（养老保险、医疗保险、失业保险、工伤保险和生育保险等国家规定项目）；3、工作时间：大小周工作制，8:30-12:30,14:00-18:00（我们不提倡加班，追求高效率办公）；4、假期规定：依法享有国家规定的各种法定节假日、年休假、婚假、产假、病假等有薪假期；5、礼品礼金：传统节日福利、春节红包等；6、文娱生活：公司不定期组织各种文娱、下午茶活动。7、生活保障：公司配备微波炉和冰箱方便自带餐。8、办公环境：高档写字楼，舒适、宽松、干净的办公环境；9、公司氛围： 轻松、愉快、自由、和谐、尊重、积极、信任；公司地址：龙岗区坂田街道坂雪岗大道百瑞达大厦1103 附近公交站台：万科城联系方式：人事部 王小姐",2018-06-12,业务部 数据分析 办公 30 00 文娱 规定 分析 公司 负责 薪酬 竞争对手 假期 月度 亦可 待遇 享有 年休假 坂田 调薪
