岗位名称	链接	公司	类型	地点	薪水/天	每周最少实习天数	最短实习月份
数据分析师	/intern/inn_ecsgt7b4jjyx	北京无双科技有限公司	媒体	北京	150-200/天	5天/周	3个月
数据分析师	/intern/inn_ixitypr40wtf	平安产险	软件	佛山	80-100/天	4天/周	4个月
数据分析师	/intern/inn_0pj9wmoctlab	蓝港?动集团	数据库	北京	140-180/天	5天/周	8个月
数据分析师	/intern/inn_0zghvkbpqmqz	长江众创	数据挖掘	上海	150-200/天	3天/周	6个月
数据分析师	/intern/inn_aufesvumbm8d	长江众创	Python	上海	120-150/天	3天/周	3个月
商业数据分析	/intern/inn_urtkx6kbwhki	TBS	分析/调研	南京	115-130/天	3天/周	4个月
数据分析工?师	/intern/inn_bzdz1j9o5o7a	保数通	算法	北京	100-200/天	3天/周	13个月
数据分析岗	/intern/inn_poemyuoy7fld	碧桂园	建筑房产	成都	150-300/天	5天/周	8个月
数据分析师	/intern/inn_bi26d8n2qzer	博慧医数	数据挖掘	北京	100-194/天	5天/周	3个月
数据分析专员	/intern/inn_pdhjjvabzo4z	广州棒谷	运营	广州	208-333/天	5天/周	7个月
数据分析师	/intern/inn_2auptvi1086s	创东??	咨询	沈阳	50-100/天	5天/周	4个月
数据分析专员	/intern/inn_15dedoxj7xi9	海信集团	其他类型	青岛	109-150/天	5天/周	14个月
数据分析员	/intern/inn_iqcorlw4uzm7	中峰信达	新媒体	北京	120-140/天	5天/周	3个月
数据分析师	/intern/inn_kkzynihdomzq	优必爱	云计算/大数据	北京	100-200/天	3天/周	3个月
数据分析建模	/intern/inn_hmpyubspt1lo	子询	数据挖掘	成都	100-150/天	5天/周	3个月
数据分析主管	/intern/inn_hgahpbs6vdlk	智??	运营	苏州	300-400/天	5天/周	15个月
数据分析工?师	/intern/inn_y92t9ru58hlf	上海迈科	算法	上海	70-75/天	5天/周	8个月
商业数据分析	/intern/inn_vtdywmqolgfo	英特体育	分析/调研	上海	150-300/天	2天/周	4个月
数据分析师	/intern/inn_b1pwpqiwjcg6	中原行	数据挖掘	上海	100-120/天	5天/周	6个月
数据分析师	/intern/inn_ehu1utmpkkbp	小糖??	数据挖掘	北京	150-200/天	4天/周	14个月
数据分析专员	/intern/inn_2hfjxm2phrws	广电通	分析/调研	广州	100-150/天	5天/周	3个月
数据分析助理	/intern/inn_xxys6tilxfvt	巴九灵新媒体	运营	杭州	80-90/天	4天/周	4个月
数据分析师	/intern/inn_r1kla9sluvrk	神策数据	云计算/大数据	北京	200-256/天	5天/周	3个月
数据分析实习	/intern/inn_5usm5wgp6hax	华润置地华北大区商业管理	建筑房产	"北京,郑州,青岛,济南,太原,石家庄,淄博,日照"	100-150/天	3天/周	6个月
数据分析师	/intern/inn_pwljsdqjbtil	盼达用车	数据库	成都	100-150/天	5天/周	15个月
数据分析师	/intern/inn_sdynhpnknnaj	?G	SEO	北京	180-220/天	5天/周	3个月
?㑇o? 数据分析	/intern/inn_x0gn13oco7x0	?叶草	Python	南京	150-200/天	5天/周	9个月
数据分析师	/intern/inn_fz9zglcrwg80	七牛云	产品	上海	200-300/天	4天/周	7个月
数据分析师	/intern/inn_3nqyrkledmdy	永辉	其他类型	上海	180-230/天	5天/周	14个月
数据分析师	/intern/inn_jijheegexbzf	盛趣信息技术（上海）	其他类型	上海	100-130/天	4天/周	6个月
数据分析岗	/intern/inn_audgoj8pr2hd	中国??网协?	不限	北京	100-150/天	3天/周	3个月
